,phenophase_id,percent_yes,month,phenophase_name,species_id
0,482,1.0,1,Initial growth,1436
1,488,0.9833333333333334,7,Leaves,1436
2,501,0.5182616736014795,8,Open flowers,1436
1,482,0.5,4,Initial growth,174
2,488,1.0,6,Leaves,174
3,500,1.0,6,Flowers or flower buds,174
4,501,1.0,6,Open flowers,174
5,516,1.0,7,Fruits,174
0,390,1.0,8,Ripe fruits,174
0,371,0.6333333333333333,4,Breaking leaf buds,1174
5,500,0.3,4,Flowers or flower buds,1174
1,467,0.75,5,Increasing leaf size,1174
3,483,1.0,5,Leaves,1174
6,516,0.08333333333333333,6,Fruits,1174
4,498,0.95,9,Colored leaves,1174
2,471,0.9166666666666667,10,Falling leaves,1174
0,371,0.5714285714285714,4,Breaking leaf buds,1446
2,467,0.8,5,Increasing leaf size,1446
3,483,1.0,5,Leaves,1446
5,500,0.6,5,Flowers or flower buds,1446
6,501,0.21666666666666667,6,Open flowers,1446
7,516,1.0,7,Fruits,1446
1,390,0.4,8,Ripe fruits,1446
4,498,0.575,9,Colored leaves,1446
0,371,0.3333333333333333,4,Breaking leaf buds,93
1,467,0.6881720430107527,5,Increasing leaf size,93
3,483,1.0,5,Leaves,93
5,516,0.3333333333333333,7,Fruits,93
2,471,0.8238410596026491,10,Falling leaves,93
4,498,1.0,10,Colored leaves,93
0,371,0.125,5,Breaking leaf buds,79
1,467,0.34,6,Increasing leaf size,79
3,483,1.0,6,Leaves,79
5,516,0.5833333333333333,8,Fruits,79
4,498,1.0,10,Colored leaves,79
2,471,0.5916666666666667,11,Falling leaves,79
0,371,0.5333333333333333,4,Breaking leaf buds,724
1,467,0.8333333333333334,5,Increasing leaf size,724
5,500,0.16666666666666666,5,Flowers or flower buds,724
3,483,1.0,6,Leaves,724
2,471,1.0,10,Falling leaves,724
4,498,1.0,10,Colored leaves,724
0,489,1.0,6,Leaves,1627
1,492,1.0,6,Initial growth,1627
2,493,1.0,8,Flower heads,1627
3,494,1.0,8,Open flowers,1627
4,502,0.5,9,Pollen release,1627
5,516,0.5,9,Fruits,1627
0,489,1.0,6,Leaves,910
1,493,1.0,7,Flower heads,910
2,494,0.16666666666666666,7,Open flowers,910
3,502,0.16666666666666666,7,Pollen release,910
8,502,0.3333333333333333,1,Pollen release,1048
6,500,0.8055555555555556,3,Flowers or flower buds,1048
0,371,0.23809523809523808,4,Breaking leaf buds,1048
7,501,0.4642857142857143,4,Open flowers,1048
2,467,0.75,5,Increasing leaf size,1048
4,483,1.0,5,Leaves,1048
10,516,0.75,5,Fruits,1048
1,390,0.2,6,Ripe fruits,1048
9,504,0.2,6,Recent fruit or seed drop,1048
3,471,1.0,9,Falling leaves,1048
5,498,1.0,9,Colored leaves,1048
5,500,0.41666666666666663,3,Flowers or flower buds,71
6,501,0.2222222222222222,4,Open flowers,71
0,371,0.6666666666666666,5,Breaking leaf buds,71
1,467,0.48214285714285715,5,Increasing leaf size,71
3,483,1.0,6,Leaves,71
7,516,1.0,7,Fruits,71
2,471,0.75,10,Falling leaves,71
4,498,0.6190476190476191,10,Colored leaves,71
0,371,0.5,4,Breaking leaf buds,823
2,467,0.8388888888888889,5,Increasing leaf size,823
4,483,1.0,5,Leaves,823
6,516,0.8645833333333333,8,Fruits,823
1,390,0.2962962962962963,9,Ripe fruits,823
5,498,0.96875,10,Colored leaves,823
3,471,0.8888888888888888,11,Falling leaves,823
0,371,1.0,4,Breaking leaf buds,91
2,467,0.6458333333333333,5,Increasing leaf size,91
4,483,1.0,6,Leaves,91
6,500,0.6190476190476191,6,Flowers or flower buds,91
7,501,0.05263157894736842,6,Open flowers,91
5,498,1.0,9,Colored leaves,91
3,471,0.8571428571428572,10,Falling leaves,91
1,390,1.0,11,Ripe fruits,91
8,516,1.0,11,Fruits,91
0,371,0.35,2,Breaking leaf buds,206
6,500,0.6,4,Flowers or flower buds,206
4,483,1.0,5,Leaves,206
7,501,0.4166666666666667,5,Open flowers,206
2,467,1.0,6,Increasing leaf size,206
9,516,1.0,6,Fruits,206
1,390,0.25,8,Ripe fruits,206
8,504,0.25,8,Recent fruit or seed drop,206
3,471,0.5555555555555556,9,Falling leaves,206
5,498,0.9285714285714286,10,Colored leaves,206
3,500,1.0,6,Flowers or flower buds,963
1,482,1.0,7,Initial growth,963
2,488,1.0,7,Leaves,963
4,501,1.0,8,Open flowers,963
5,504,1.0,8,Recent fruit or seed drop,963
6,516,1.0,8,Fruits,963
0,390,1.0,9,Ripe fruits,963
0,371,1.0,5,Breaking leaf buds,1762
2,467,1.0,6,Increasing leaf size,1762
4,483,1.0,6,Leaves,1762
6,500,1.0,6,Flowers or flower buds,1762
7,501,0.2,7,Open flowers,1762
1,390,1.0,8,Ripe fruits,1762
3,471,0.5,8,Falling leaves,1762
8,516,1.0,8,Fruits,1762
5,498,1.0,9,Colored leaves,1762
1,390,0.5,1,Ripe fruits,970
6,504,0.5,1,Recent fruit or seed drop,970
0,371,0.5857142857142856,4,Breaking leaf buds,970
2,467,0.9583333333333333,5,Increasing leaf size,970
4,483,1.0,5,Leaves,970
5,498,1.0,9,Colored leaves,970
7,516,0.625,9,Fruits,970
3,471,1.0,10,Falling leaves,970
0,482,0.75,5,Initial growth,938
1,488,1.0,6,Leaves,938
2,500,1.0,7,Flowers or flower buds,938
3,501,1.0,8,Open flowers,938
0,371,0.47,4,Breaking leaf buds,76
2,467,0.9090909090909091,5,Increasing leaf size,76
4,483,1.0,5,Leaves,76
8,516,1.0,7,Fruits,76
1,390,0.3333333333333333,10,Ripe fruits,76
3,471,0.6666666666666666,10,Falling leaves,76
5,498,1.0,10,Colored leaves,76
6,500,1.0,12,Flowers or flower buds,76
7,501,1.0,12,Open flowers,76
0,371,0.3939393939393939,3,Breaking leaf buds,1246
2,467,0.8718718718718719,4,Increasing leaf size,1246
6,500,0.011627906976744186,4,Flowers or flower buds,1246
4,483,1.0,5,Leaves,1246
7,501,0.4782608695652174,5,Open flowers,1246
1,390,0.65,10,Ripe fruits,1246
8,516,0.65,10,Fruits,1246
5,498,1.0,11,Colored leaves,1246
3,471,1.0,12,Falling leaves,1246
0,371,0.42614601018675724,4,Breaking leaf buds,444
1,467,0.6333333333333333,5,Increasing leaf size,444
3,483,1.0,5,Leaves,444
4,498,1.0,9,Colored leaves,444
2,471,0.5,10,Falling leaves,444
0,371,0.5916666666666667,4,Breaking leaf buds,1208
2,467,0.8166666666666667,5,Increasing leaf size,1208
4,483,1.0,5,Leaves,1208
6,500,0.6,5,Flowers or flower buds,1208
7,501,0.3333333333333333,5,Open flowers,1208
9,516,1.0,7,Fruits,1208
1,390,0.26595744680851063,9,Ripe fruits,1208
8,504,0.25,9,Recent fruit or seed drop,1208
5,498,1.0,10,Colored leaves,1208
3,471,1.0,11,Falling leaves,1208
3,500,1.0,4,Flowers or flower buds,434
4,501,1.0,5,Open flowers,434
0,390,1.0,6,Ripe fruits,434
1,482,0.7733333333333333,6,Initial growth,434
5,504,1.0,6,Recent fruit or seed drop,434
6,516,1.0,6,Fruits,434
2,488,1.0,7,Leaves,434
3,373,0.7272727272727273,4,Breaking leaf buds,20
4,374,0.578125,5,All leaf buds broken,20
0,207,0.1,6,End of flowering,20
1,210,1.0,6,Open flowers,20
2,211,1.0,6,Full flowering,20
0,371,0.8333333333333334,4,Breaking leaf buds,1173
6,500,0.805982905982906,4,Flowers or flower buds,1173
2,467,0.7666666666666666,5,Increasing leaf size,1173
4,483,1.0,5,Leaves,1173
7,501,0.3302845528455285,5,Open flowers,1173
1,390,0.6421254801536491,6,Ripe fruits,1173
9,516,1.0,6,Fruits,1173
8,504,0.8920454545454546,7,Recent fruit or seed drop,1173
3,471,1.0,11,Falling leaves,1173
5,498,1.0,11,Colored leaves,1173
4,490,1.0,1,Pollen cones,39
5,491,0.75,2,Recent cone or seed drop,39
2,480,0.5647058823529412,5,Breaking needle buds,39
3,485,0.98,6,Young needles,39
0,392,0.3055555555555556,8,Unripe seed cones,39
1,393,0.96875,9,Ripe seed cones,39
6,495,0.125,11,Open pollen cones,39
0,371,0.6666666666666666,5,Breaking leaf buds,320
6,500,0.42857142857142855,5,Flowers or flower buds,320
4,483,1.0,6,Leaves,320
1,390,1.0,7,Ripe fruits,320
2,467,1.0,7,Increasing leaf size,320
7,504,1.0,7,Recent fruit or seed drop,320
8,516,1.0,7,Fruits,320
3,471,1.0,9,Falling leaves,320
5,498,1.0,9,Colored leaves,320
0,482,1.0,5,Initial growth,725
1,488,1.0,5,Leaves,725
2,501,1.0,8,Open flowers,725
5,500,0.6666666666666666,5,Flowers or flower buds,982
6,501,0.4166666666666667,5,Open flowers,982
0,371,1.0,6,Breaking leaf buds,982
3,483,1.0,7,Leaves,982
8,516,1.0,7,Fruits,982
1,390,0.9166666666666666,9,Ripe fruits,982
4,498,0.75,9,Colored leaves,982
7,504,0.5833333333333334,9,Recent fruit or seed drop,982
2,471,0.6666666666666666,10,Falling leaves,982
6,500,1.0,2,Flowers or flower buds,72
8,502,0.6666666666666666,3,Pollen release,72
0,371,0.75,4,Breaking leaf buds,72
7,501,0.37037037037037035,4,Open flowers,72
2,467,0.7685185185185186,5,Increasing leaf size,72
4,483,1.0,6,Leaves,72
10,516,1.0,7,Fruits,72
1,390,0.5,8,Ripe fruits,72
9,504,0.5,8,Recent fruit or seed drop,72
5,498,0.9857142857142858,9,Colored leaves,72
3,471,0.962013201320132,10,Falling leaves,72
4,500,0.5,5,Flowers or flower buds,1485
5,502,0.09090909090909091,5,Pollen release,1485
0,371,1.0,6,Breaking leaf buds,1485
2,483,1.0,6,Leaves,1485
6,516,1.0,8,Fruits,1485
1,471,1.0,10,Falling leaves,1485
3,498,1.0,10,Colored leaves,1485
2,492,1.0,5,Initial growth,129
1,489,1.0,7,Leaves,129
3,493,0.8666666666666667,8,Flower heads,129
0,390,1.0,9,Ripe fruits,129
4,494,0.1111111111111111,9,Open flowers,129
7,516,1.0,9,Fruits,129
5,502,0.08333333333333333,10,Pollen release,129
6,504,0.5833333333333334,10,Recent fruit or seed drop,129
1,483,1.0,1,Leaves,105
3,498,1.0,1,Colored leaves,105
2,484,0.9833333333333334,6,Young leaves,105
4,500,1.0,7,Flowers or flower buds,105
0,471,1.0,8,Falling leaves,105
1,482,0.6666666666666666,5,Initial growth,171
2,488,1.0,6,Leaves,171
3,500,0.6,7,Flowers or flower buds,171
4,501,0.2727272727272727,8,Open flowers,171
0,390,0.7272727272727273,9,Ripe fruits,171
5,504,0.4242424242424242,9,Recent fruit or seed drop,171
6,516,0.7272727272727273,9,Fruits,171
5,500,0.7857142857142857,4,Flowers or flower buds,1188
0,371,0.14285714285714285,5,Breaking leaf buds,1188
6,501,0.21428571428571427,5,Open flowers,1188
1,467,1.0,6,Increasing leaf size,1188
3,483,1.0,6,Leaves,1188
2,471,1.0,10,Falling leaves,1188
4,498,1.0,10,Colored leaves,1188
0,371,0.7368421052631579,5,Breaking leaf buds,1176
1,467,0.8947368421052632,5,Increasing leaf size,1176
3,483,1.0,5,Leaves,1176
2,471,0.775,10,Falling leaves,1176
4,498,0.9,10,Colored leaves,1176
1,390,1.0,2,Ripe fruits,873
8,504,1.0,2,Recent fruit or seed drop,873
9,516,1.0,2,Fruits,873
0,371,1.0,5,Breaking leaf buds,873
2,467,1.0,5,Increasing leaf size,873
6,500,0.25,5,Flowers or flower buds,873
7,501,0.1,5,Open flowers,873
4,483,1.0,6,Leaves,873
3,471,1.0,10,Falling leaves,873
5,498,1.0,10,Colored leaves,873
0,482,1.0,4,Initial growth,1321
1,488,1.0,5,Leaves,1321
2,500,1.0,6,Flowers or flower buds,1321
3,501,1.0,6,Open flowers,1321
0,371,0.3,4,Breaking leaf buds,28
2,467,0.5,5,Increasing leaf size,28
4,483,1.0,5,Leaves,28
6,500,0.5,5,Flowers or flower buds,28
7,516,0.75,7,Fruits,28
1,390,0.1,8,Ripe fruits,28
5,498,0.91,9,Colored leaves,28
3,471,0.8333333333333334,10,Falling leaves,28
2,467,1.0,2,Increasing leaf size,90
4,483,1.0,2,Leaves,90
6,500,0.875,7,Flowers or flower buds,90
7,501,0.85,7,Open flowers,90
9,516,1.0,8,Fruits,90
1,390,0.75,9,Ripe fruits,90
5,498,0.16666666666666666,9,Colored leaves,90
8,504,0.75,9,Recent fruit or seed drop,90
3,471,0.9,10,Falling leaves,90
0,371,0.5,12,Breaking leaf buds,90
0,371,0.75,5,Breaking leaf buds,1458
2,483,1.0,6,Leaves,1458
4,500,0.47619047619047616,6,Flowers or flower buds,1458
5,501,0.3333333333333333,6,Open flowers,1458
6,516,0.5714285714285714,7,Fruits,1458
1,471,0.3333333333333333,10,Falling leaves,1458
3,498,0.75,10,Colored leaves,1458
0,371,0.3333333333333333,4,Breaking leaf buds,33
2,467,0.5,5,Increasing leaf size,33
4,483,1.0,5,Leaves,33
6,500,0.5,5,Flowers or flower buds,33
1,390,0.5,7,Ripe fruits,33
7,516,0.5,7,Fruits,33
5,498,0.70481220657277,10,Colored leaves,33
3,471,0.5897435897435898,11,Falling leaves,33
0,371,1.0,2,Breaking leaf buds,1591
1,390,0.16666666666666666,4,Ripe fruits,1591
6,500,0.3666666666666667,4,Flowers or flower buds,1591
7,501,0.3,4,Open flowers,1591
8,502,0.07142857142857142,4,Pollen release,1591
10,516,0.3333333333333333,4,Fruits,1591
2,467,0.9285714285714286,5,Increasing leaf size,1591
9,504,0.25,5,Recent fruit or seed drop,1591
4,483,1.0,6,Leaves,1591
3,471,0.7142857142857143,10,Falling leaves,1591
5,498,0.9285714285714286,10,Colored leaves,1591
1,488,1.0,9,Leaves,809
2,500,1.0,9,Flowers or flower buds,809
3,501,1.0,9,Open flowers,809
0,482,1.0,10,Initial growth,809
0,371,0.5416666666666666,4,Breaking leaf buds,1159
2,467,0.825,5,Increasing leaf size,1159
6,500,0.125,5,Flowers or flower buds,1159
7,501,0.3,5,Open flowers,1159
4,483,1.0,6,Leaves,1159
9,516,0.4833333333333333,7,Fruits,1159
1,390,0.48367346938775513,10,Ripe fruits,1159
8,504,0.5855572998430141,10,Recent fruit or seed drop,1159
3,471,1.0,11,Falling leaves,1159
5,498,1.0,11,Colored leaves,1159
3,485,1.0,1,Young needles,48
4,490,1.0,3,Pollen cones,48
5,491,1.0,4,Recent cone or seed drop,48
0,392,1.0,6,Unripe seed cones,48
2,480,0.38571428571428573,6,Breaking needle buds,48
6,495,0.1403628117913832,6,Open pollen cones,48
1,393,1.0,9,Ripe seed cones,48
0,371,0.3666666666666667,4,Breaking leaf buds,80
2,467,0.8333333333333334,5,Increasing leaf size,80
4,483,1.0,5,Leaves,80
7,501,0.16666666666666666,5,Open flowers,80
6,500,0.2,6,Flowers or flower buds,80
9,516,1.0,7,Fruits,80
1,390,0.15000000000000002,9,Ripe fruits,80
5,498,1.0,9,Colored leaves,80
3,471,1.0,10,Falling leaves,80
8,504,0.3333333333333333,10,Recent fruit or seed drop,80
0,371,0.75,4,Breaking leaf buds,1494
5,500,0.3333333333333333,4,Flowers or flower buds,1494
1,467,0.8333333333333333,5,Increasing leaf size,1494
6,501,0.16666666666666666,5,Open flowers,1494
7,502,0.08333333333333333,5,Pollen release,1494
3,483,1.0,6,Leaves,1494
2,471,1.0,10,Falling leaves,1494
4,498,1.0,10,Colored leaves,1494
1,482,0.8947368421052632,3,Initial growth,1637
2,488,1.0,5,Leaves,1637
3,500,1.0,7,Flowers or flower buds,1637
4,501,1.0,8,Open flowers,1637
0,390,1.0,9,Ripe fruits,1637
6,516,1.0,9,Fruits,1637
5,504,1.0,10,Recent fruit or seed drop,1637
0,371,0.5,4,Breaking leaf buds,941
1,467,0.8333333333333334,5,Increasing leaf size,941
3,483,1.0,5,Leaves,941
5,500,0.3333333333333333,5,Flowers or flower buds,941
4,498,1.0,9,Colored leaves,941
2,471,0.8333333333333334,10,Falling leaves,941
0,482,0.2777777777777778,4,Initial growth,1016
2,500,0.3472222222222222,4,Flowers or flower buds,1016
3,501,0.3333333333333333,4,Open flowers,1016
1,488,1.0,5,Leaves,1016
4,516,0.25,5,Fruits,1016
1,482,0.42857142857142855,4,Initial growth,826
3,500,0.5,4,Flowers or flower buds,826
4,501,0.42857142857142855,4,Open flowers,826
2,488,1.0,5,Leaves,826
6,516,1.0,6,Fruits,826
0,390,0.5,9,Ripe fruits,826
5,504,0.5,9,Recent fruit or seed drop,826
1,489,1.0,5,Leaves,131
2,492,0.9041666666666667,5,Initial growth,131
4,494,0.0033333333333333335,7,Open flowers,131
3,493,0.8,8,Flower heads,131
5,502,0.5,9,Pollen release,131
7,516,1.0,9,Fruits,131
0,390,1.0,10,Ripe fruits,131
6,504,1.0,10,Recent fruit or seed drop,131
1,482,0.75,4,Initial growth,1202
2,488,1.0,5,Leaves,1202
3,500,0.5,6,Flowers or flower buds,1202
4,501,0.5,6,Open flowers,1202
6,516,0.9444444444444444,7,Fruits,1202
0,390,0.5,8,Ripe fruits,1202
5,504,0.6,8,Recent fruit or seed drop,1202
0,482,0.6,5,Initial growth,9
1,488,1.0,6,Leaves,9
2,500,0.30000000000000004,6,Flowers or flower buds,9
3,501,0.16666666666666666,6,Open flowers,9
4,516,0.16666666666666666,8,Fruits,9
1,482,0.5833333333333333,4,Initial growth,190
2,488,1.0,5,Leaves,190
3,500,1.0,6,Flowers or flower buds,190
4,501,0.7307692307692308,6,Open flowers,190
0,390,0.75,7,Ripe fruits,190
6,516,0.875,7,Fruits,190
5,504,0.6666666666666666,8,Recent fruit or seed drop,190
1,492,1.0,4,Initial growth,811
0,489,1.0,5,Leaves,811
0,482,1.0,9,Initial growth,1028
1,488,1.0,9,Leaves,1028
2,500,1.0,9,Flowers or flower buds,1028
3,501,1.0,9,Open flowers,1028
3,500,1.0,5,Flowers or flower buds,313
0,371,0.8,6,Breaking leaf buds,313
2,484,0.5,6,Young leaves,313
4,501,0.5,7,Open flowers,313
6,516,1.0,8,Fruits,313
1,390,1.0,9,Ripe fruits,313
5,504,0.3333333333333333,9,Recent fruit or seed drop,313
0,371,1.0,5,Breaking leaf buds,799
